1919,GaSb,0.726,0.365
8246,GaP,2.26,1.69
5651,InSb,0.17,0
8291,GaAs,1.42,0.184
5816,InAs,0.354,0.305
6896,InN,1.97,0.478
2010,SiC,2.36,1.59
5849,InP,1.34,0.466
31667,GaN,3.2,1.738
11300,Ge,0.661,0
5211,CaMnO3,3.07,0.469
5063,NiO,4.3,2.214
5154,CoO,3,0
22,Si,1.12,0.853
4050,AlN,6.2,4.054
5549,ZnO,3.37,1.05
23759,FeO,2.4,0
5061,MnO,4,0.199
12698,SrTiO3,3.25,1.827
